epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2482.52,0.51339,0.22851,0.00708,0.9701,0.98729,0.99301,0.88542,0.51201,0.19866,0.01093,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678
31,2569.82,0.50808,0.22562,0.00723,0.96471,0.97881,0.99152,0.8882,0.51374,0.22446,0.01096,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
32,2651.85,0.51036,0.24419,0.00713,0.94631,0.97094,0.98875,0.88776,0.51766,0.22953,0.01106,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646
33,2734.02,0.50137,0.23053,0.00709,0.9628,0.987,0.99244,0.88754,0.51078,0.20826,0.01086,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
34,2820.28,0.49832,0.21086,0.00702,0.97086,0.98729,0.99241,0.89186,0.50565,0.18852,0.01072,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395
35,2887.03,0.50224,0.20881,0.00728,0.97437,0.97881,0.99329,0.88999,0.51941,0.20226,0.01113,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
36,2964.35,0.50222,0.20762,0.00711,0.97418,0.97881,0.9927,0.88595,0.51568,0.19533,0.0109,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945
37,3053.32,0.48822,0.21341,0.00692,0.98035,0.9661,0.99299,0.89027,0.52061,0.2075,0.01106,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
38,3138.32,0.47447,0.19867,0.00675,0.98911,0.95763,0.99312,0.89319,0.51023,0.22885,0.01093,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318
39,3223.76,0.48277,0.20977,0.00674,0.9703,0.97881,0.99223,0.89372,0.52733,0.19723,0.01128,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
40,3302.12,0.48124,0.21663,0.00672,0.95511,0.99163,0.99267,0.88742,0.51959,0.20799,0.01111,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535
