epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2620.67,1.31664,0.59861,0.00642,0.86976,0.91827,0.92305,0.47224,0.95249,0.32136,0.00609,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678
31,2703.59,1.29457,0.60115,0.00626,0.92442,0.84085,0.92009,0.47891,0.94791,0.35765,0.00599,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
32,2786.88,1.31095,0.60742,0.00607,0.88087,0.9,0.90979,0.4594,0.90866,0.33762,0.00576,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646
33,2880.96,1.30906,0.59352,0.0063,0.90237,0.86654,0.9106,0.48396,0.9277,0.3571,0.00589,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
34,2969.85,1.31103,0.60022,0.00624,0.89262,0.8875,0.91422,0.48492,0.92748,0.34862,0.00588,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395
35,3064.85,1.24752,0.56078,0.00595,0.88694,0.90625,0.93865,0.48656,0.94791,0.32047,0.00597,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
36,3158.05,1.25394,0.5347,0.00599,0.90969,0.91875,0.94059,0.48896,0.92891,0.30535,0.00593,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945
37,3248.75,1.24999,0.56311,0.00596,0.87691,0.9,0.91808,0.49462,0.90257,0.34401,0.00564,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
38,3345.38,1.22291,0.54295,0.00569,0.90109,0.91103,0.93734,0.48834,0.91613,0.31592,0.0058,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318
39,3432.77,1.23006,0.57216,0.00595,0.91775,0.90658,0.92993,0.4668,0.94309,0.3399,0.00593,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
40,3527.05,1.23272,0.55008,0.00584,0.8656,0.91875,0.92004,0.48443,0.93119,0.36896,0.00585,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535
41,3620.06,1.20353,0.54125,0.00564,0.8887,0.89833,0.93347,0.48285,0.92381,0.36137,0.00585,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
42,3712.1,1.18698,0.51887,0.00544,0.8695,0.91614,0.92375,0.47612,0.92192,0.35867,0.00577,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862
43,3807.29,1.16111,0.50736,0.00545,0.90592,0.9027,0.94212,0.49324,0.90583,0.31372,0.00566,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
44,3897.78,1.15937,0.50028,0.00553,0.86848,0.91875,0.91839,0.47722,0.93851,0.36891,0.00598,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596
45,3980.69,1.15147,0.49707,0.00547,0.90379,0.9125,0.91812,0.47283,0.94296,0.35416,0.00597,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
46,4074.65,1.15209,0.48977,0.00535,0.92004,0.84375,0.90919,0.46443,0.96747,0.41999,0.00616,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487
47,4160.03,1.13172,0.48027,0.00529,0.90323,0.8875,0.92747,0.48451,0.93523,0.34613,0.00591,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
48,4254.12,1.13833,0.46841,0.00521,0.92453,0.875,0.92535,0.49262,0.91089,0.33129,0.00573,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317
49,4348.83,1.13608,0.47912,0.00526,0.89332,0.9125,0.92696,0.49727,0.93152,0.35499,0.00585,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
50,4436.89,1.1157,0.49247,0.00527,0.90025,0.90247,0.91751,0.47103,0.92324,0.39093,0.00578,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411
51,4532.46,1.11158,0.49172,0.00525,0.88856,0.9,0.91679,0.47426,0.9421,0.34818,0.00596,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,4626.75,1.10238,0.46231,0.00515,0.91099,0.8625,0.92658,0.48253,0.94851,0.3718,0.00597,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903
53,4723.47,1.08055,0.46437,0.00512,0.91082,0.89375,0.92851,0.48601,0.93974,0.36334,0.00586,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837
54,4813.3,1.10273,0.46604,0.00516,0.90273,0.87006,0.9353,0.50381,0.90999,0.31507,0.0057,0.0027505,0.000916833,0.0027505,0.000916833,0.0027505,0.000916833,0.0027505,0.000916833
55,4907.37,1.05091,0.45314,0.0048,0.91425,0.86623,0.92143,0.48325,0.93948,0.35664,0.00595,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592,0.00265776,0.00088592
56,4997.58,1.06491,0.4487,0.00475,0.91006,0.90625,0.92281,0.47021,0.96288,0.39581,0.00606,0.00256539,0.00085513,0.00256539,0.00085513,0.00256539,0.00085513,0.00256539,0.00085513
57,5082.72,1.05036,0.44444,0.00485,0.91782,0.83765,0.91722,0.48816,0.94071,0.3694,0.00587,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492,0.00247348,0.000824492
58,5173.73,1.06961,0.44772,0.0048,0.88228,0.9,0.93142,0.49279,0.95739,0.37329,0.00602,0.00238211,0.000794038,0.00238211,0.000794038,0.00238211,0.000794038,0.00238211,0.000794038
59,5268.73,1.03988,0.44092,0.00476,0.91991,0.8614,0.90662,0.48031,0.96359,0.37554,0.00612,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
60,5355.99,1.02691,0.43114,0.00479,0.87969,0.90625,0.93053,0.48896,0.96038,0.33747,0.00608,0.0022014,0.000733799,0.0022014,0.000733799,0.0022014,0.000733799,0.0022014,0.000733799
61,5447.01,1.01911,0.42291,0.00477,0.89497,0.89375,0.9317,0.50093,0.93635,0.32852,0.00589,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
62,5530.14,1.02028,0.40995,0.00476,0.92041,0.8875,0.92709,0.49393,0.94178,0.35028,0.00597,0.00202395,0.000674649,0.00202395,0.000674649,0.00202395,0.000674649,0.00202395,0.000674649
63,5621.65,0.97739,0.4017,0.00451,0.9005,0.86875,0.91188,0.49617,0.92832,0.34992,0.00584,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
64,5690.47,0.99048,0.40399,0.00452,0.88617,0.91875,0.92175,0.49167,0.93872,0.32652,0.00592,0.00185047,0.000616824,0.00185047,0.000616824,0.00185047,0.000616824,0.00185047,0.000616824
65,5770.61,0.98111,0.41306,0.0044,0.88045,0.89375,0.91465,0.49463,0.94971,0.3827,0.00601,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
66,5866.64,0.98878,0.42143,0.00452,0.89744,0.8875,0.9158,0.48771,0.9432,0.35639,0.00598,0.00168165,0.000560549,0.00168165,0.000560549,0.00168165,0.000560549,0.00168165,0.000560549
