epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10927.3,0.65722,0.43051,0.99914,0.9577,0.91868,0.9722,0.8457,0.64337,0.35696,0.9964,0.005842,0.005842,0.005842
44,11175.5,0.65608,0.42672,1.00067,0.95657,0.91822,0.97202,0.84526,0.64548,0.35992,1.00239,0.005743,0.005743,0.005743
45,11425.1,0.65335,0.42216,0.99464,0.95541,0.92259,0.97352,0.8472,0.64231,0.35322,0.99073,0.005644,0.005644,0.005644
46,11673.1,0.64883,0.41521,0.99227,0.95703,0.92184,0.97407,0.84827,0.64084,0.3507,0.99825,0.005545,0.005545,0.005545
47,11920.2,0.64891,0.41724,0.99279,0.95996,0.92322,0.97492,0.85049,0.6396,0.34853,0.99474,0.005446,0.005446,0.005446
48,12167.7,0.64067,0.41392,0.99217,0.95971,0.92367,0.97449,0.85058,0.63619,0.34289,0.99452,0.005347,0.005347,0.005347
49,12415.5,0.63816,0.40978,0.98808,0.95877,0.92594,0.9752,0.85166,0.63565,0.34507,0.99428,0.005248,0.005248,0.005248
50,12662.5,0.63993,0.40912,0.98879,0.9592,0.92763,0.9755,0.85222,0.63456,0.34308,0.98987,0.005149,0.005149,0.005149
51,12910.2,0.64411,0.41041,0.98854,0.95858,0.92656,0.97556,0.85288,0.63133,0.34217,0.9847,0.00505,0.00505,0.00505
52,13158,0.63566,0.40272,0.98618,0.95856,0.92747,0.97653,0.85464,0.62906,0.33944,0.98533,0.004951,0.004951,0.004951
53,13405.5,0.6357,0.40492,0.98418,0.96306,0.92734,0.97681,0.85467,0.62634,0.33503,0.98014,0.004852,0.004852,0.004852
54,13652.8,0.63066,0.39902,0.98354,0.96023,0.92783,0.97643,0.85544,0.62571,0.33829,0.98646,0.004753,0.004753,0.004753
55,13900.3,0.62889,0.39791,0.98247,0.96315,0.92827,0.97666,0.85619,0.62329,0.3358,0.98001,0.004654,0.004654,0.004654
56,14152.7,0.6283,0.39424,0.97808,0.96166,0.92918,0.97723,0.85684,0.61973,0.32974,0.97477,0.004555,0.004555,0.004555
57,14404.1,0.62698,0.39266,0.9792,0.96055,0.93219,0.97782,0.85867,0.61776,0.32721,0.9754,0.004456,0.004456,0.004456
58,14655,0.62042,0.39096,0.97654,0.96441,0.93055,0.97801,0.85981,0.61856,0.32706,0.97704,0.004357,0.004357,0.004357
59,14910.3,0.62187,0.38693,0.97893,0.96445,0.93018,0.97787,0.86005,0.61612,0.3266,0.98156,0.004258,0.004258,0.004258
60,15160.7,0.62236,0.38926,0.97969,0.96009,0.93325,0.9784,0.86151,0.61404,0.32568,0.98195,0.004159,0.004159,0.004159
61,15411.4,0.61518,0.38196,0.97354,0.96275,0.93348,0.97918,0.86287,0.61083,0.32173,0.97637,0.00406,0.00406,0.00406
62,15661.6,0.61256,0.38097,0.97166,0.96376,0.9356,0.97961,0.86341,0.60896,0.31987,0.97227,0.003961,0.003961,0.003961
63,15912.1,0.60819,0.37497,0.96612,0.96388,0.93553,0.97994,0.86438,0.60842,0.31758,0.96611,0.003862,0.003862,0.003862
64,16162.5,0.61167,0.37698,0.96862,0.96468,0.93619,0.97995,0.8649,0.60869,0.31594,0.96664,0.003763,0.003763,0.003763
65,16413.6,0.60489,0.37314,0.9679,0.96451,0.93639,0.98027,0.86541,0.60656,0.31598,0.96586,0.003664,0.003664,0.003664
66,16664.4,0.60493,0.37149,0.96976,0.96292,0.93558,0.9799,0.86544,0.60696,0.31701,0.96757,0.003565,0.003565,0.003565
