epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2995.4,0.84279,0.59017,0.00789,0.94866,0.90863,0.96608,0.8308,0.65746,0.35943,0.00677,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3590.07,0.8406,0.58929,0.00784,0.94926,0.90781,0.96593,0.83063,0.65754,0.36078,0.00678,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,4186.52,0.83952,0.58982,0.00783,0.94774,0.90841,0.96611,0.83132,0.65491,0.36033,0.00675,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4781.28,0.83785,0.58395,0.00781,0.94715,0.91009,0.96632,0.83171,0.65457,0.35917,0.00674,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,5379.1,0.83433,0.58293,0.00777,0.94514,0.91147,0.96646,0.83232,0.65249,0.35768,0.00671,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,5969.59,0.83617,0.58148,0.00781,0.94769,0.91069,0.96671,0.83266,0.65251,0.35626,0.00671,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,6563.07,0.84226,0.58546,0.00782,0.94806,0.909,0.96663,0.8329,0.65147,0.35669,0.0067,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,7157.72,0.83254,0.57651,0.00773,0.94801,0.90981,0.96671,0.83318,0.65067,0.35696,0.00669,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,7759.68,0.83275,0.57651,0.00771,0.94631,0.90999,0.96665,0.83358,0.64944,0.35729,0.00668,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,8357.07,0.82947,0.57366,0.00771,0.94786,0.90973,0.96688,0.83371,0.64888,0.35679,0.00668,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,8943.97,0.82858,0.57333,0.0077,0.94727,0.91043,0.96718,0.83424,0.64833,0.35573,0.00667,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,9530.26,0.82684,0.57154,0.00768,0.94725,0.91114,0.96735,0.83457,0.64808,0.35474,0.00667,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,10128.2,0.82732,0.56908,0.00766,0.94684,0.91208,0.96752,0.83481,0.64745,0.35466,0.00666,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,10727.1,0.82035,0.56125,0.00761,0.94773,0.91212,0.96767,0.83515,0.64636,0.35451,0.00664,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,11324.6,0.82168,0.56056,0.00758,0.94735,0.91327,0.96799,0.83584,0.6452,0.35352,0.00662,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,11973.8,0.81945,0.56062,0.00757,0.94809,0.91427,0.96826,0.83594,0.64536,0.35184,0.00663,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
