epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,295.159,0.69707,0.20548,0.00667,0.99232,1,0.995,0.85303,0.65923,0.17468,0.00858,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678,0.00485033,0.00161678
31,304.122,0.69537,0.21378,0.00639,0.9991,1,0.995,0.85841,0.62715,0.16688,0.0081,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191,0.00477572,0.00159191
32,312.989,0.6963,0.20617,0.00636,0.9992,1,0.995,0.86944,0.61489,0.16103,0.00796,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646,0.00469939,0.00156646
33,322.187,0.69674,0.21589,0.00646,0.99957,1,0.995,0.86421,0.63879,0.16594,0.00827,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047,0.00462141,0.00154047
34,331.266,0.70582,0.20615,0.00648,0.99137,0.99291,0.99493,0.86854,0.62727,0.19293,0.00811,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395,0.00454185,0.00151395
35,340.267,0.65859,0.19658,0.00598,0.99228,1,0.99493,0.8669,0.62653,0.16764,0.00811,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694,0.00446081,0.00148694
36,349.244,0.69709,0.21136,0.00638,0.99295,0.99924,0.99493,0.8657,0.63149,0.17259,0.00818,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945,0.00437835,0.00145945
37,358.079,0.6739,0.1875,0.0062,0.99956,0.99291,0.995,0.8696,0.61923,0.16829,0.00805,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152,0.00429456,0.00143152
38,367.011,0.68202,0.21454,0.00643,0.99213,0.99291,0.99472,0.8734,0.60718,0.17138,0.00788,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318,0.00420953,0.00140318
39,375.965,0.69397,0.2191,0.00624,1,0.99981,0.995,0.87164,0.6045,0.16151,0.00779,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
40,385.013,0.69783,0.2154,0.00614,0.99957,1,0.995,0.8713,0.60558,0.15603,0.00783,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535,0.00403605,0.00134535
41,393.569,0.68352,0.20689,0.00648,0.9919,0.99291,0.99493,0.86652,0.60779,0.17425,0.00782,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593,0.00394778,0.00131593
42,402.678,0.7003,0.2141,0.00636,0.99834,0.99291,0.995,0.86053,0.62114,0.17667,0.00811,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862,0.0038586,0.0012862
43,411.754,0.68256,0.20621,0.00631,1,0.9992,0.995,0.86532,0.5993,0.16123,0.00777,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562,0.00376861,0.0012562
44,420.576,0.66576,0.19872,0.00606,1,0.99199,0.995,0.87207,0.59632,0.16606,0.00769,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596,0.00367789,0.00122596
45,429.195,0.64801,0.18664,0.00597,1,0.99914,0.995,0.87084,0.60149,0.16222,0.00775,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551,0.00358652,0.00119551
46,437.866,0.67653,0.21068,0.00627,0.99832,0.99291,0.995,0.86886,0.59052,0.16333,0.00764,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487,0.00349461,0.00116487
47,446.536,0.66912,0.19154,0.00626,0.99925,1,0.995,0.86114,0.62024,0.16332,0.008,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408,0.00340224,0.00113408
48,455.602,0.65264,0.1921,0.00613,0.99293,0.99549,0.99493,0.86839,0.59504,0.16933,0.00762,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317,0.0033095,0.00110317
49,464.304,0.694,0.21905,0.00615,0.99863,1,0.995,0.87352,0.59161,0.16144,0.00762,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216,0.00321649,0.00107216
50,473.177,0.66672,0.19133,0.00604,0.99035,1,0.99493,0.86795,0.59015,0.16979,0.00758,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411,0.00312329,0.0010411
51,482.141,0.63967,0.2029,0.00588,0.99964,1,0.995,0.87627,0.59224,0.15717,0.00771,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,490.954,0.62962,0.1848,0.00598,1,0.99852,0.995,0.87298,0.57484,0.15678,0.0074,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903,0.00293671,0.000978903
53,499.796,0.6529,0.18546,0.00587,1,0.98522,0.99493,0.87072,0.58516,0.16532,0.00753,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837,0.00284351,0.000947837
